"Id","BldgType","MasVnrType_clean","MasVnrArea_clean","ExterQual","CentralAir","1stFlrSF","GrLivArea","KitchenQual_clean","GarageArea_clean","PavedDrive","WoodDeckSF","OpenPorchSF","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad","reforma"
1461,"1Fam","None",0,"TA","Y",896,896,"TA",730,"Y",140,0,"20","OTHER","Feedr","1Story",59,59
1462,"1Fam","BrkFace",108,"TA","Y",1329,1329,"Gd",312,"Y",393,36,"20","RL","Norm","1Story",62,62
1463,"1Fam","None",0,"TA","Y",928,1629,"TA",482,"Y",212,34,"60","RL","Norm","2Story",23,22
1464,"1Fam","BrkFace",20,"TA","Y",926,1604,"Gd",470,"Y",360,36,"60","RL","Norm","2Story",22,22
1465,"TwnhsE","None",0,"Gd","Y",1280,1280,"Gd",506,"Y",0,82,"120","RL","Norm","1Story",28,28
1466,"1Fam","None",0,"TA","Y",763,1655,"TA",440,"Y",157,84,"60","RL","Norm","2Story",27,26
1467,"1Fam","None",0,"TA","Y",1187,1187,"TA",420,"Y",483,21,"20","RL","Norm","1Story",28,13
1468,"1Fam","None",0,"TA","Y",789,1465,"TA",393,"Y",0,75,"60","RL","Norm","2Story",22,22
1469,"1Fam","None",0,"TA","Y",1341,1341,"Gd",506,"Y",192,0,"20","RL","Norm","1Story",30,30
1470,"1Fam","None",0,"TA","Y",882,882,"TA",525,"Y",240,0,"20","RL","Norm","1Story",50,50
1471,"TwnhsE","None",0,"Gd","Y",1337,1337,"Gd",511,"Y",203,68,"120","OTHER","Norm","1Story",21,21
1472,"Twnhs","BrkFace",504,"TA","Y",483,987,"TA",264,"Y",275,0,"160","RM","Norm","2Story",49,49
1473,"Twnhs","BrkFace",492,"TA","Y",525,1092,"TA",320,"Y",0,0,"160","RM","Norm","2Story",49,49
1474,"Twnhs","None",0,"TA","Y",855,1456,"Gd",440,"Y",173,0,"160","RL","Norm","2Story",45,45
1475,"Twnhs","None",0,"TA","Y",836,836,"TA",308,"Y",0,30,"120","RL","Norm","1Story",45,45
1476,"1Fam","Stone",162,"Ex","Y",1627,2334,"Ex",751,"Y",144,133,"60","RL","Norm","2Story",11,10
1477,"1Fam","Stone",256,"Gd","Y",1544,1544,"Gd",868,"Y",0,35,"20","RL","Norm","1Story",11,10
1478,"1Fam","BrkFace",615,"Gd","Y",1698,1698,"Ex",730,"Y",192,74,"20","RL","PosN","1Story",15,15
1479,"1Fam","BrkFace",240,"Gd","Y",1822,1822,"Ex",678,"Y",0,119,"20","RL","Norm","1Story",15,14
1480,"1Fam","BrkFace",1095,"Ex","Y",2696,2696,"Ex",958,"Y",220,150,"20","RL","Norm","1Story",17,16
1481,"1Fam","BrkFace",232,"Gd","Y",1687,2250,"Gd",756,"Y",238,130,"60","RL","Norm","2Story",18,18
1482,"TwnhsE","Stone",178,"Gd","Y",1370,1370,"Gd",484,"Y",120,49,"120","RL","Norm","1Story",14,14
1483,"1Fam","None",0,"Gd","Y",1324,1324,"Gd",430,"Y",36,23,"20","RL","Norm","1Story",15,15
1484,"TwnhsE","BrkFace",14,"Gd","Y",1145,1145,"Gd",437,"Y",100,116,"120","RL","Norm","1Story",14,14
1485,"1Fam","None",0,"Gd","Y",744,1374,"Gd",400,"Y",100,0,"80","RL","Norm","SLvl",16,16
1486,"1Fam","None",0,"Gd","Y",847,1733,"Gd",433,"Y",144,48,"60","RL","Norm","2Story",16,16
1487,"1Fam","BrkFace",114,"Gd","Y",1645,2475,"Gd",962,"Y",23,172,"60","RL","Norm","2Story",22,22
1488,"1Fam","BrkFace",226,"Gd","Y",1595,1595,"Gd",880,"Y",144,0,"20","RL","Norm","1Story",15,14
1489,"1Fam","None",0,"Gd","Y",1218,1218,"Gd",676,"Y",0,136,"20","FV","Norm","1Story",11,10
1490,"1Fam","None",0,"Gd","Y",1468,1468,"Gd",528,"Y",0,102,"20","FV","Norm","1Story",15,15
1491,"1Fam","BrkFace",122,"Gd","Y",831,1659,"Gd",484,"Y",144,68,"60","RL","Norm","2Story",16,16
1492,"1Fam","None",0,"TA","N",1012,1012,"TA",429,"Y",121,0,"30","OTHER","Feedr","1Story",100,70
1493,"1Fam","BrkCmn",250,"TA","Y",1494,1494,"TA",461,"Y",296,0,"20","RL","RRNe","1Story",46,18
1494,"1Fam","BrkFace",504,"Gd","Y",1251,2349,"Gd",762,"Y",32,130,"60","RL","Norm","2Story",27,27
