"Id","BldgType","MasVnrType_clean","MasVnrArea_clean_scale","ExterQual","CentralAir","1stFlrSF_scale","GrLivArea_scale","KitchenQual_clean","GarageArea_clean_scale","PavedDrive","WoodDeckSF_scale","OpenPorchSF_scale","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad_scale","reforma_scale"
1461,"1Fam","None",-0.561396796481775,"TA","Y",-0.654336961960169,-1.21517116516334,"TA",1.1851048916709,"Y",0.366552633643638,-0.701387254549797,"20","OTHER","Feedr","1Story",0.340827744574074,1.07251689356343
1462,"1Fam","BrkFace",0.0489275861263819,"TA","Y",0.433149654654192,-0.323428514263798,"Gd",-0.738264907234818,"Y",2.34706251389445,-0.178764695917742,"20","RL","Norm","1Story",0.439544197591592,1.21449198635421
1463,"1Fam","None",-0.561396796481775,"TA","Y",-0.573968436021001,0.294407040631957,"TA",0.0439668291622443,"Y",0.930175998774305,-0.207799282508412,"60","RL","Norm","2Story",-0.843769691636135,-0.678509250856187
1464,"1Fam","BrkFace",-0.44837376266545,"TA","Y",-0.578991468892199,0.242920744390644,"Gd",-0.0112495287010777,"Y",2.08873513820957,-0.178764695917742,"60","RL","Norm","2Story",-0.876675175975308,-0.678509250856187
1465,"TwnhsE","None",-0.561396796481775,"Gd","Y",0.310085349309841,-0.424341654896772,"Gd",0.154399544888888,"Y",-0.72938168744377,0.489030795667661,"120","RL","Norm","1Story",-0.679242269940273,-0.394559065274627
1466,"1Fam","None",-0.561396796481775,"TA","Y",-0.988368647894834,0.347952788722923,"TA",-0.149290423359383,"Y",0.499630372632824,0.518065382258331,"60","RL","Norm","2Story",-0.712147754279445,-0.489209127135147
1467,"1Fam","None",-0.561396796481775,"TA","Y",0.0765143207991357,-0.615870676914456,"TA",-0.24131768646492,"Y",3.05159172030779,-0.396524095347765,"20","RL","Norm","1Story",-0.679242269940273,-1.10443452922853
1468,"1Fam","None",-0.561396796481775,"TA","Y",-0.92306922056926,-0.0433430627110558,"TA",-0.365554491657394,"Y",-0.72938168744377,0.387409742600317,"60","RL","Norm","2Story",-0.876675175975308,-0.678509250856187
1469,"1Fam","None",-0.561396796481775,"TA","Y",0.463287851881379,-0.298715092067968,"Gd",0.154399544888888,"Y",0.773613952904676,-0.701387254549797,"20","RL","Norm","1Story",-0.613431301261928,-0.299909003414108
1470,"1Fam","None",-0.561396796481775,"TA","Y",-0.689498192058554,-1.24400349105847,"TA",0.241825444839148,"Y",1.14936286299179,-0.701387254549797,"20","RL","Norm","1Story",0.044678385521522,0.64659161519109
1471,"TwnhsE","None",-0.561396796481775,"Gd","Y",0.453241786138983,-0.306952899466578,"Gd",0.177406360665273,"Y",0.859723078132972,0.285788689532973,"120","OTHER","Norm","1Story",-0.90958066031448,-0.725834281786446
1472,"Twnhs","BrkFace",2.28678365568962,"TA","Y",-1.69159324986255,-1.02776104684496,"TA",-0.959130338688106,"Y",1.42334644326364,-0.701387254549797,"160","RM","Norm","2Story",0.0117729011823495,0.59926658426083
1473,"Twnhs","BrkFace",2.21896983539983,"TA","Y",-1.58610955956739,-0.811518602631445,"TA",-0.701454001992603,"Y",-0.72938168744377,-0.701387254549797,"160","RM","Norm","2Story",0.0117729011823495,0.59926658426083
1474,"Twnhs","None",-0.561396796481775,"TA","Y",-0.757309135819727,-0.0618781293579285,"Gd",-0.149290423359383,"Y",0.624880009328527,-0.701387254549797,"160","RL","Norm","2Story",-0.11984903617434,0.40996646053979
1475,"Twnhs","None",-0.561396796481775,"TA","Y",-0.805027948096108,-1.33873827614249,"TA",-0.756670359855925,"Y",-0.72938168744377,-0.265868455689752,"120","RL","Norm","1Story",-0.11984903617434,0.40996646053979
1476,"1Fam","Stone",0.35408977743046,"Ex","Y",1.18158155246269,1.74632059463698,"Ex",1.28173351793171,"Y",0.397865042817564,1.22941275372974,"60","RL","Norm","2Story",-1.23863550370621,-1.2464096220193
1477,"1Fam","Stone",0.885298036367189,"Gd","Y",0.973125688307973,0.119353633411493,"Gd",1.8200930070991,"Y",-0.72938168744377,-0.193281989213077,"20","RL","Norm","1Story",-1.23863550370621,-1.2464096220193
1478,"1Fam","BrkFace",2.91406149337023,"Gd","Y",1.35989921939022,0.436509218257981,"Ex",1.1851048916709,"Y",0.773613952904676,0.372892449304982,"20","RL","PosN","1Story",-1.10701356634952,-1.00978446736801
1479,"1Fam","BrkFace",0.794879609314129,"Gd","Y",1.67132725740449,0.691881247614893,"Ex",0.945834007596504,"Y",-0.72938168744377,1.02617064759505,"20","RL","Norm","1Story",-1.10701356634952,-1.05710949829827
1480,"1Fam","BrkFace",5.62661430496204,"Ex","Y",3.866392622118,2.49184216421119,"Ex",2.23421569107402,"Y",0.992800817122157,1.47620673975043,"20","RL","Norm","1Story",-1.04120259767117,-0.962459436437746
1481,"1Fam","BrkFace",0.749670395787599,"Gd","Y",1.33227253859863,1.57332663926617,"Gd",1.3047403337081,"Y",1.13370665840482,1.18586087384373,"60","RL","Norm","2Story",-1.008297113332,-0.867809374577226
1482,"TwnhsE","Stone",0.444508204483521,"Gd","Y",0.53612182851375,-0.238990988428045,"Gd",0.053169555472798,"Y",0.209990587774009,0.0099601169216108,"120","RL","Norm","1Story",-1.13991905068869,-1.05710949829827
1483,"1Fam","None",-0.561396796481775,"Gd","Y",0.420592072476197,-0.333725773512061,"Gd",-0.195304054912151,"Y",-0.447570004878436,-0.367489508757096,"20","RL","Norm","1Story",-1.10701356634952,-1.00978446736801
1484,"TwnhsE","BrkFace",-0.482280672810347,"Gd","Y",-0.0289693694960216,-0.702367654599862,"Gd",-0.163094512825213,"Y",0.0534285419043788,0.982618767709046,"120","RL","Norm","1Story",-1.13991905068869,-1.05710949829827
1485,"1Fam","None",-0.561396796481775,"Gd","Y",-1.03608746017121,-0.230753181029435,"Gd",-0.333344949570456,"Y",0.0534285419043788,-0.701387254549797,"80","RL","Norm","SLvl",-1.07410808201034,-0.962459436437746
1486,"1Fam","None",-0.561396796481775,"Gd","Y",-0.777401267304519,0.508590032995819,"Gd",-0.181499965446321,"Y",0.397865042817564,-0.00455717637372405,"60","RL","Norm","2Story",-1.07410808201034,-0.962459436437746
1487,"1Fam","BrkFace",0.0828344962712795,"Gd","Y",1.22678884830347,2.03670330543799,"Gd",2.25262114369513,"Y",-0.549335334693696,1.7955871922478,"60","RL","Norm","2Story",-0.876675175975308,-0.678509250856187
1488,"1Fam","BrkFace",0.715763485642701,"Gd","Y",1.10121302652352,0.224385677743772,"Gd",1.87530936496243,"Y",0.397865042817564,-0.701387254549797,"20","RL","Norm","1Story",-1.10701356634952,-1.05710949829827
1489,"1Fam","None",-0.561396796481775,"Gd","Y",0.154371330302704,-0.552027669575228,"Gd",0.936631281285951,"Y",-0.72938168744377,1.27296463361574,"20","FV","Norm","1Story",-1.23863550370621,-1.2464096220193
