"Id","BldgType","MasVnrType_clean","MasVnrArea_clean","ExterQual","CentralAir","1stFlrSF","GrLivArea","KitchenQual_clean","GarageArea_clean","PavedDrive","WoodDeckSF","OpenPorchSF","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad","reforma","averagePrice_surface"
1,"1Fam","BrkFace",196,"Gd","Y",856,1710,"Gd",548,"Y",0,61,"60","RL","Norm","2Story",17,17,121.929824561404
2,"1Fam","None",0,"TA","Y",1262,1262,"TA",460,"Y",298,0,"20","RL","Feedr","1Story",44,44,143.819334389857
3,"1Fam","BrkFace",162,"Gd","Y",920,1786,"Gd",608,"Y",0,42,"60","RL","Norm","2Story",19,18,125.139977603583
4,"1Fam","None",0,"TA","Y",961,1717,"Gd",642,"Y",0,35,"70","RL","Norm","2Story",105,50,81.537565521258
5,"1Fam","BrkFace",350,"Gd","Y",1145,2198,"Gd",836,"Y",192,84,"60","RL","Norm","2Story",20,20,113.739763421292
6,"1Fam","None",0,"TA","Y",796,1362,"TA",480,"Y",40,30,"50","RL","Norm","1.5Fin",27,25,104.992657856094
7,"1Fam","Stone",186,"Gd","Y",1694,1694,"Gd",636,"Y",255,57,"20","RL","Norm","1Story",16,15,181.227863046045
8,"1Fam","Stone",240,"TA","Y",1107,2090,"TA",484,"Y",235,204,"60","RL","PosN","2Story",47,47,95.6937799043062
9,"1Fam","None",0,"TA","Y",1022,1774,"TA",468,"Y",90,0,"50","RM","Artery","1.5Fin",89,70,73.2243517474634
10,"2fmCon","None",0,"TA","Y",1077,1077,"TA",205,"Y",0,4,"190","RL","Artery","1.5Unf",81,70,109.563602599814
11,"1Fam","None",0,"TA","Y",1040,1040,"TA",384,"Y",0,0,"20","RL","Norm","1Story",55,55,124.519230769231
12,"1Fam","Stone",286,"Ex","Y",1182,2324,"Ex",736,"Y",147,21,"60","RL","Norm","2Story",15,14,148.450946643718
13,"1Fam","None",0,"TA","Y",912,912,"TA",352,"Y",140,0,"20","RL","Norm","1Story",58,58,157.894736842105
14,"1Fam","Stone",306,"Gd","Y",1494,1494,"Gd",840,"Y",160,33,"20","RL","Norm","1Story",14,13,187.081659973226
15,"1Fam","BrkFace",212,"TA","Y",1253,1253,"TA",352,"Y",0,213,"20","RL","Norm","1Story",60,60,125.299281723863
16,"1Fam","None",0,"TA","Y",854,854,"TA",576,"Y",48,112,"OTHERS","RM","Norm","1.5Unf",91,19,154.566744730679
17,"1Fam","BrkFace",180,"TA","Y",1004,1004,"TA",480,"Y",0,0,"20","RL","Norm","1Story",50,50,148.406374501992
18,"Duplex","None",0,"TA","Y",1296,1296,"TA",516,"Y",0,0,"90","RL","Norm","1Story",53,53,69.4444444444444
19,"1Fam","None",0,"TA","Y",1114,1114,"Gd",576,"Y",0,102,"20","RL","RRAe","1Story",16,16,142.728904847397
20,"1Fam","None",0,"TA","Y",1339,1339,"TA",294,"Y",0,0,"20","RL","Norm","1Story",62,55,103.808812546677
