"Id","BldgType","MasVnrType_clean","MasVnrArea_clean_scale","ExterQual","CentralAir","1stFlrSF_scale","GrLivArea_scale","KitchenQual_clean","GarageArea_clean_scale","PavedDrive","WoodDeckSF_scale","OpenPorchSF_scale","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad_scale","reforma_scale","averagePrice_surface"
1,"1Fam","BrkFace",0.518079302016348,"Gd","Y",-0.793162022889067,0.37020659097219,"Gd",0.350880094686988,"Y",-0.751918199272585,0.216429003220351,"60","RL","Norm","2Story",-1.05063379786737,-0.878367122733119,121.929824561404
2,"1Fam","None",-0.567590011190771,"TA","Y",0.257052352914191,-0.48234664247401,"TA",-0.0607102107607402,"Y",1.62563778043276,-0.704241947620518,"20","RL","Feedr","1Story",-0.156680025674321,0.429429824620694,143.819334389857
3,"1Fam","BrkFace",0.329748910949807,"Gd","Y",-0.627610988279686,0.514836157360384,"Gd",0.631509848401348,"Y",-0.751918199272585,-0.0703373585169691,"60","RL","Norm","2Story",-0.98441499992714,-0.829930198757052,125.139977603583
4,"1Fam","None",-0.567590011190771,"TA","Y",-0.521554856733052,0.383527735244787,"Gd",0.790533375506153,"Y",-0.751918199272585,-0.175988123367561,"70","RL","Norm","2Story",1.86299331150256,0.720051368477097,81.537565521258
5,"1Fam","BrkFace",1.3711051909648,"Gd","Y",-0.045595632231083,1.29888064883323,"Gd",1.69790291251592,"Y",0.779929948725489,0.56356723058658,"60","RL","Norm","2Story",-0.951305600957027,-0.733056350804918,113.739763421292
6,"1Fam","None",-0.567590011190771,"TA","Y",-0.948366117835361,-0.292044581436912,"TA",0.0328330404773799,"Y",-0.432783168439653,-0.251452955403697,"50","RL","Norm","1.5Fin",-0.719539808166238,-0.490871730924582,104.992657856094
7,"1Fam","Stone",0.462688010526189,"Gd","Y",1.37452183652751,0.339758261206254,"Gd",0.762470400134717,"Y",1.28256762228736,0.156057137591441,"20","RL","Norm","1Story",-1.08374319683748,-0.975240970685253,181.227863046045
8,"1Fam","Stone",0.761800984573048,"TA","Y",-0.143891559030403,1.09335442291316,"TA",0.0515416907250039,"Y",1.12300010687089,2.37472319945386,"60","RL","PosN","2Story",-0.0573518287639831,0.574740596548895,95.6937799043062
9,"1Fam","None",-0.567590011190771,"TA","Y",-0.363764026870986,0.491999910035932,"TA",-0.0232929102654922,"Y",-0.0338643798984876,-0.704241947620518,"50","RM","Artery","1.5Fin",1.33324292798075,1.68878984799844,73.2243517474634
10,"2fmCon","None",-0.567590011190771,"TA","Y",-0.22149360650355,-0.834405455392641,"TA",-1.25338666404677,"Y",-0.751918199272585,-0.643870081991609,"190","RL","Artery","1.5Unf",1.06836773621985,1.68878984799844,109.563602599814
11,"1Fam","None",-0.567590011190771,"TA","Y",-0.317202798387098,-0.904817217976368,"TA",-0.416174565465597,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.207523362996919,0.962235988357433,124.519230769231
